Traffic source,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
Total,26988,102.4869,0:00:13,151020,7.69
Shorts feed,11364,51.6368,0:00:16,,
Browse features,9887,27.0709,0:00:09,83395,10.31
Suggested videos,1728,7.3968,0:00:15,30953,4.07
YouTube search,1613,6.8813,0:00:15,13620,7.73
External,724,3.2454,0:00:16,,
Channel pages,551,2.4003,0:00:15,18853,1.46
Playlists,437,1.6802,0:00:13,3035,9.59
Other YouTube features,334,1.0678,0:00:11,,
Playlist page,166,0.4335,0:00:09,1164,12.03
Direct or unknown,142,0.5353,0:00:13,,
Hashtag pages,25,0.0793,0:00:11,,
Notifications,16,0.0535,0:00:12,,
YouTube advertising,1,0.0058,0:00:21,,
Sound pages,0,0,,,
